 gmid0.5         idw0.5         
 1.77848878e+00  1.04252301e+02 
 1.75333307e+00  1.06109607e+02 
 1.72871421e+00  1.07973128e+02 
 1.70461704e+00  1.09842620e+02 
 1.68102691e+00  1.11717841e+02 
 1.65792966e+00  1.13598556e+02 
 1.63531162e+00  1.15484533e+02 
 1.61315957e+00  1.17375545e+02 
 1.59146073e+00  1.19271369e+02 
 1.57020276e+00  1.21171786e+02 
 1.54937370e+00  1.23076583e+02 
 1.52896199e+00  1.24985549e+02 
 1.50895647e+00  1.26898478e+02 
 1.48934631e+00  1.28815168e+02 
 1.47012105e+00  1.30735421e+02 
 1.45127055e+00  1.32659042e+02 
 1.43278500e+00  1.34585841e+02 
 1.41465491e+00  1.36515632e+02 
 1.39687107e+00  1.38448231e+02 
 1.37942458e+00  1.40383459e+02 
 1.36230680e+00  1.42321141e+02 
 1.34550937e+00  1.44261104e+02 
 1.32902419e+00  1.46203179e+02 
 1.31284339e+00  1.48147200e+02 
 1.29695937e+00  1.50093007e+02 
 1.28136473e+00  1.52040439e+02 
 1.26605232e+00  1.53989340e+02 
 1.25101520e+00  1.55939559e+02 
 1.23624662e+00  1.57890946e+02 
 1.22174005e+00  1.59843354e+02 
 1.20748916e+00  1.61796639e+02 
 1.19348778e+00  1.63750661e+02 
 1.17972995e+00  1.65705282e+02 
 1.16620987e+00  1.67660366e+02 
 1.15292191e+00  1.69615782e+02 
 1.13986060e+00  1.71571399e+02 
 1.12702065e+00  1.73527089e+02 
 1.11439688e+00  1.75482730e+02 
 1.10198430e+00  1.77438197e+02 
 1.08977804e+00  1.79393372e+02 
 1.07777338e+00  1.81348138e+02 
 1.06596572e+00  1.83302378e+02 
 1.05435058e+00  1.85255981e+02 
 1.04292365e+00  1.87208837e+02 
 1.03168069e+00  1.89160836e+02 
 1.02061759e+00  1.91111874e+02 
 1.00973038e+00  1.93061845e+02 
 9.99015174e-01  1.95010648e+02 
 9.88468190e-01  1.96958184e+02 
 9.78085759e-01  1.98904354e+02 
 9.67864309e-01  2.00849062e+02 
 9.57800361e-01  2.02792216e+02 
 9.47890532e-01  2.04733721e+02 
 9.38131529e-01  2.06673489e+02 
 9.28520145e-01  2.08611430e+02 
 9.19053258e-01  2.10547459e+02 
 9.09727828e-01  2.12481489e+02 
 9.00540895e-01  2.14413438e+02 
 8.91489576e-01  2.16343223e+02 
 8.82571062e-01  2.18270766e+02 
 8.73782618e-01  2.20195987e+02 
 8.65121578e-01  2.22118809e+02 
 8.56585344e-01  2.24039157e+02 
 8.48171384e-01  2.25956958e+02 
 8.39877232e-01  2.27872138e+02 
 8.31700481e-01  2.29784627e+02 
 8.23638787e-01  2.31694354e+02 
 8.15689865e-01  2.33601253e+02 
 8.07851483e-01  2.35505256e+02 
 8.00121468e-01  2.37406297e+02 
 7.92497700e-01  2.39304312e+02 
 7.84978109e-01  2.41199239e+02 
 7.77560678e-01  2.43091014e+02 
 7.70243438e-01  2.44979579e+02 
 7.63024466e-01  2.46864873e+02 
 7.55901888e-01  2.48746838e+02 
 7.48873873e-01  2.50625418e+02 
 7.41938636e-01  2.52500557e+02 
 7.35094431e-01  2.54372199e+02 
 7.28339557e-01  2.56240291e+02 
 7.21672351e-01  2.58104780e+02 
 7.15091188e-01  2.59965615e+02 
 7.08594483e-01  2.61822746e+02 
 7.02180687e-01  2.63676122e+02 
 6.95848287e-01  2.65525695e+02 
 6.89595806e-01  2.67371418e+02 
 6.83421797e-01  2.69213244e+02 
 6.77324851e-01  2.71051127e+02 
 6.71303587e-01  2.72885023e+02 
 6.65356659e-01  2.74714886e+02 
 6.59482747e-01  2.76540676e+02 
 6.53680565e-01  2.78362349e+02 
 6.47948852e-01  2.80179863e+02 
 6.42286378e-01  2.81993180e+02 
 6.36691938e-01  2.83802258e+02 
 6.31164355e-01  2.85607059e+02 
 6.25702478e-01  2.87407545e+02 
 6.20305179e-01  2.89203679e+02 
 6.14971357e-01  2.90995424e+02 
 6.09699935e-01  2.92782744e+02 
 6.04489856e-01  2.94565605e+02 
 5.99340089e-01  2.96343971e+02 
 5.94249625e-01  2.98117810e+02 
 5.89217474e-01  2.99887088e+02 
 5.84242670e-01  3.01651774e+02 
 5.79324264e-01  3.03411835e+02 
 5.74461331e-01  3.05167240e+02 
 5.69652961e-01  3.06917960e+02 
 5.64898268e-01  3.08663965e+02 
 5.60196379e-01  3.10405226e+02 
 5.55546444e-01  3.12141713e+02 
 5.50947627e-01  3.13873401e+02 
 5.46399111e-01  3.15600261e+02 
 5.41900094e-01  3.17322266e+02 
 5.37449794e-01  3.19039391e+02 
 5.33047440e-01  3.20751611e+02 
 5.28692280e-01  3.22458900e+02 
 5.24383575e-01  3.24161233e+02 
 5.20120603e-01  3.25858588e+02 
 5.15902656e-01  3.27550941e+02 
 5.11729037e-01  3.29238269e+02 
 5.07599067e-01  3.30920549e+02 
 5.03512077e-01  3.32597761e+02 
 4.99467414e-01  3.34269882e+02 
 4.95464436e-01  3.35936892e+02 
 4.91502514e-01  3.37598771e+02 
 4.87581031e-01  3.39255499e+02 
 4.83699381e-01  3.40907056e+02 
 4.79856973e-01  3.42553423e+02 
 4.76053223e-01  3.44194582e+02 
 4.72287561e-01  3.45830516e+02 
 4.68559427e-01  3.47461206e+02 
 4.64868272e-01  3.49086635e+02 
 4.61213557e-01  3.50706786e+02 
 4.57594753e-01  3.52321644e+02 
 4.54011340e-01  3.53931192e+02 
 4.50462811e-01  3.55535414e+02 
 4.46948664e-01  3.57134296e+02 
 4.43468410e-01  3.58727823e+02 
 4.40021567e-01  3.60315981e+02 
 4.36607663e-01  3.61898755e+02 
 4.33226233e-01  3.63476132e+02 
 gmid1           idw1           
 2.47870058e+01  6.24897112e-09 
 2.52440700e+01  8.02566913e-09 
 2.56216258e+01  1.03504856e-08 
 2.59341933e+01  1.33947277e-08 
 2.61942470e+01  1.73838650e-08 
 2.64122293e+01  2.26148341e-08 
 2.65967168e+01  2.94789245e-08 
 2.67546505e+01  3.84920625e-08 
 2.68915867e+01  5.03349033e-08 
 2.70119340e+01  6.59059408e-08 
 2.71191686e+01  8.63918883e-08 
 2.72160173e+01  1.13360999e-07 
 2.73046115e+01  1.48886858e-07 
 2.73866123e+01  1.95712687e-07 
 2.74633113e+01  2.57469502e-07 
 2.75357120e+01  3.38965937e-07 
 2.76045934e+01  4.46573413e-07 
 2.76705602e+01  5.88738309e-07 
 2.77340817e+01  7.76663258e-07 
 2.77955229e+01  1.02521384e-06 
 2.78551677e+01  1.35412578e-06 
 2.79132374e+01  1.78961288e-06 
