 gmid0.5         ft0.5          
 1.77848878e+00  1.87328105e+10 
 1.75333307e+00  1.87615358e+10 
 1.72871421e+00  1.87880213e+10 
 1.70461704e+00  1.88123214e+10 
 1.68102691e+00  1.88344890e+10 
 1.65792966e+00  1.88545763e+10 
 1.63531162e+00  1.88726343e+10 
 1.61315957e+00  1.88887127e+10 
 1.59146073e+00  1.89028603e+10 
 1.57020276e+00  1.89151249e+10 
 1.54937370e+00  1.89255532e+10 
 1.52896199e+00  1.89341907e+10 
 1.50895647e+00  1.89410821e+10 
 1.48934631e+00  1.89462710e+10 
 1.47012105e+00  1.89498001e+10 
 1.45127055e+00  1.89517108e+10 
 1.43278500e+00  1.89520440e+10 
 1.41465491e+00  1.89508392e+10 
 1.39687107e+00  1.89481354e+10 
 1.37942458e+00  1.89439704e+10 
 1.36230680e+00  1.89383811e+10 
 1.34550937e+00  1.89314037e+10 
 1.32902419e+00  1.89230735e+10 
 1.31284339e+00  1.89134247e+10 
 1.29695937e+00  1.89024911e+10 
 1.28136473e+00  1.88903054e+10 
 1.26605232e+00  1.88768996e+10 
 1.25101520e+00  1.88623048e+10 
 1.23624662e+00  1.88465515e+10 
 1.22174005e+00  1.88296695e+10 
 1.20748916e+00  1.88116877e+10 
 1.19348778e+00  1.87926344e+10 
 1.17972995e+00  1.87725372e+10 
 1.16620987e+00  1.87514229e+10 
 1.15292191e+00  1.87293180e+10 
 1.13986060e+00  1.87062479e+10 
 1.12702065e+00  1.86822376e+10 
 1.11439688e+00  1.86573116e+10 
 1.10198430e+00  1.86314935e+10 
 1.08977804e+00  1.86048067e+10 
 1.07777338e+00  1.85772736e+10 
 1.06596572e+00  1.85489164e+10 
 1.05435058e+00  1.85197565e+10 
 1.04292365e+00  1.84898149e+10 
 1.03168069e+00  1.84591122e+10 
 1.02061759e+00  1.84276683e+10 
 1.00973038e+00  1.83955026e+10 
 9.99015174e-01  1.83626342e+10 
 9.88468190e-01  1.83290815e+10 
 9.78085759e-01  1.82948627e+10 
 9.67864309e-01  1.82599954e+10 
 9.57800361e-01  1.82244967e+10 
 9.47890532e-01  1.81883835e+10 
 9.38131529e-01  1.81516720e+10 
 9.28520145e-01  1.81143784e+10 
 9.19053258e-01  1.80765180e+10 
 9.09727828e-01  1.80381062e+10 
 9.00540895e-01  1.79991577e+10 
 8.91489576e-01  1.79596870e+10 
 8.82571062e-01  1.79197081e+10 
 8.73782618e-01  1.78792350e+10 
 8.65121578e-01  1.78382808e+10 
 8.56585344e-01  1.77968589e+10 
 8.48171384e-01  1.77549818e+10 
 8.39877232e-01  1.77126622e+10 
 8.31700481e-01  1.76699121e+10 
 8.23638787e-01  1.76267435e+10 
 8.15689865e-01  1.75831679e+10 
 8.07851483e-01  1.75391966e+10 
 8.00121468e-01  1.74948406e+10 
 7.92497700e-01  1.74501108e+10 
 7.84978109e-01  1.74050176e+10 
 7.77560678e-01  1.73595712e+10 
 7.70243438e-01  1.73137817e+10 
 7.63024466e-01  1.72676589e+10 
 7.55901888e-01  1.72212123e+10 
 7.48873873e-01  1.71744511e+10 
 7.41938636e-01  1.71273845e+10 
 7.35094431e-01  1.70800214e+10 
 7.28339557e-01  1.70323704e+10 
 7.21672351e-01  1.69844399e+10 
 7.15091188e-01  1.69362382e+10 
 7.08594483e-01  1.68877734e+10 
 7.02180687e-01  1.68390534e+10 
 6.95848287e-01  1.67900857e+10 
 6.89595806e-01  1.67408780e+10 
 6.83421797e-01  1.66914375e+10 
 6.77324851e-01  1.66417715e+10 
 6.71303587e-01  1.65918869e+10 
 6.65356659e-01  1.65417904e+10 
 6.59482747e-01  1.64914889e+10 
 6.53680565e-01  1.64409888e+10 
 6.47948852e-01  1.63902965e+10 
 6.42286378e-01  1.63394182e+10 
 6.36691938e-01  1.62883599e+10 
 6.31164355e-01  1.62371276e+10 
 6.25702478e-01  1.61857272e+10 
 6.20305179e-01  1.61341642e+10 
 6.14971357e-01  1.60824442e+10 
 6.09699935e-01  1.60305727e+10 
 6.04489856e-01  1.59785548e+10 
 5.99340089e-01  1.59263958e+10 
 5.94249625e-01  1.58741008e+10 
 5.89217474e-01  1.58216746e+10 
 5.84242670e-01  1.57691221e+10 
 5.79324264e-01  1.57164481e+10 
 5.74461331e-01  1.56636571e+10 
 5.69652961e-01  1.56107536e+10 
 5.64898268e-01  1.55577421e+10 
 5.60196379e-01  1.55046268e+10 
 5.55546444e-01  1.54514121e+10 
 5.50947627e-01  1.53981019e+10 
 5.46399111e-01  1.53447004e+10 
