 gmid0.5         gain0.5        
 1.77848878e+00  1.39439945e+01 
 1.75333307e+00  1.36106238e+01 
 1.72871421e+00  1.32858063e+01 
 1.70461704e+00  1.29693901e+01 
 1.68102691e+00  1.26612179e+01 
 1.65792966e+00  1.23611278e+01 
 1.63531162e+00  1.20689542e+01 
 1.61315957e+00  1.17845286e+01 
 1.59146073e+00  1.15076804e+01 
 1.57020276e+00  1.12382378e+01 
 1.54937370e+00  1.09760278e+01 
 1.52896199e+00  1.07208776e+01 
 1.50895647e+00  1.04726145e+01 
 1.48934631e+00  1.02310664e+01 
 1.47012105e+00  9.99606261e+00 
 1.45127055e+00  9.76743383e+00 
 1.43278500e+00  9.54501258e+00 
 1.41465491e+00  9.32863351e+00 
 1.39687107e+00  9.11813362e+00 
 1.37942458e+00  8.91335247e+00 
 1.36230680e+00  8.71413235e+00 
 1.34550937e+00  8.52031845e+00 
 1.32902419e+00  8.33175898e+00 
 1.31284339e+00  8.14830524e+00 
 1.29695937e+00  7.96981176e+00 
 1.28136473e+00  7.79613632e+00 
 1.26605232e+00  7.62713998e+00 
 1.25101520e+00  7.46268715e+00 
 1.23624662e+00  7.30264560e+00 
 1.22174005e+00  7.14688642e+00 
 1.20748916e+00  6.99528407e+00 
 1.19348778e+00  6.84771633e+00 
 1.17972995e+00  6.70406426e+00 
 1.16620987e+00  6.56421221e+00 
 1.15292191e+00  6.42804773e+00 
 1.13986060e+00  6.29546158e+00 
 1.12702065e+00  6.16634764e+00 
 1.11439688e+00  6.04060286e+00 
 1.10198430e+00  5.91812720e+00 
 1.08977804e+00  5.79882361e+00 
 1.07777338e+00  5.68259791e+00 
 1.06596572e+00  5.56935876e+00 
 1.05435058e+00  5.45901759e+00 
 1.04292365e+00  5.35148852e+00 
 1.03168069e+00  5.24668832e+00 
 1.02061759e+00  5.14453630e+00 
 1.00973038e+00  5.04495429e+00 
 9.99015174e-01  4.94786654e+00 
 9.88468190e-01  4.85319967e+00 
 9.78085759e-01  4.76088258e+00 
 9.67864309e-01  4.67084641e+00 
 9.57800361e-01  4.58302448e+00 
 9.47890532e-01  4.49735220e+00 
 9.38131529e-01  4.41376701e+00 
 9.28520145e-01  4.33220833e+00 
 9.19053258e-01  4.25261751e+00 
 9.09727828e-01  4.17493775e+00 
 9.00540895e-01  4.09911404e+00 
 8.91489576e-01  4.02509314e+00 
 8.82571062e-01  3.95282346e+00 
 8.73782618e-01  3.88225507e+00 
 8.65121578e-01  3.81333962e+00 
 8.56585344e-01  3.74603028e+00 
 8.48171384e-01  3.68028171e+00 
 8.39877232e-01  3.61604999e+00 
 8.31700481e-01  3.55329261e+00 
 8.23638787e-01  3.49196837e+00 
 8.15689865e-01  3.43203738e+00 
 8.07851483e-01  3.37346102e+00 
 8.00121468e-01  3.31620186e+00 
 7.92497700e-01  3.26022364e+00 
 7.84978109e-01  3.20549125e+00 
 7.77560678e-01  3.15197067e+00 
 7.70243438e-01  3.09962894e+00 
 7.63024466e-01  3.04843410e+00 
 7.55901888e-01  2.99835522e+00 
 7.48873873e-01  2.94936230e+00 
 7.41938636e-01  2.90142626e+00 
 7.35094431e-01  2.85451894e+00 
 7.28339557e-01  2.80861303e+00 
 7.21672351e-01  2.76368204e+00 
 7.15091188e-01  2.71970032e+00 
 7.08594483e-01  2.67664296e+00 
 7.02180687e-01  2.63448584e+00 
 6.95848287e-01  2.59320556e+00 
 6.89595806e-01  2.55277942e+00 
 6.83421797e-01  2.51318540e+00 
 6.77324851e-01  2.47440215e+00 
 6.71303587e-01  2.43640894e+00 
 6.65356659e-01  2.39918568e+00 
 6.59482747e-01  2.36271286e+00 
 6.53680565e-01  2.32697155e+00 
 6.47948852e-01  2.29194338e+00 
 6.42286378e-01  2.25761052e+00 
 6.36691938e-01  2.22395565e+00 
 6.31164355e-01  2.19096198e+00 
 6.25702478e-01  2.15861318e+00 
 6.20305179e-01  2.12689342e+00 
 6.14971357e-01  2.09578730e+00 
 6.09699935e-01  2.06527989e+00 
 6.04489856e-01  2.03535666e+00 
 5.99340089e-01  2.00600351e+00 
 5.94249625e-01  1.97720675e+00 
 5.89217474e-01  1.94895306e+00 
 5.84242670e-01  1.92122951e+00 
 5.79324264e-01  1.89402352e+00 
 5.74461331e-01  1.86732288e+00 
 5.69652961e-01  1.84111570e+00 
 5.64898268e-01  1.81539044e+00 
 5.60196379e-01  1.79013586e+00 
 5.55546444e-01  1.76534107e+00 
 5.50947627e-01  1.74099542e+00 
 5.46399111e-01  1.71708861e+00 
 5.41900094e-01  1.69361058e+00 
 5.37449794e-01  1.67055156e+00 
 5.33047440e-01  1.64790205e+00 
 5.28692280e-01  1.62565280e+00 
 5.24383575e-01  1.60379480e+00 
 5.20120603e-01  1.58231930e+00 
 5.15902656e-01  1.56121777e+00 
 5.11729037e-01  1.54048190e+00 
