 vgt0.5          gmid0.5        
 9.55175124e-01  1.77848878e+00 
 9.65129651e-01  1.75333307e+00 
 9.75084181e-01  1.72871421e+00 
 9.85038713e-01  1.70461704e+00 
 9.94993249e-01  1.68102691e+00 
 1.00494779e+00  1.65792966e+00 
 1.01490233e+00  1.63531162e+00 
 1.02485687e+00  1.61315957e+00 
 1.03481142e+00  1.59146073e+00 
 1.04476597e+00  1.57020276e+00 
 1.05472053e+00  1.54937370e+00 
 1.06467508e+00  1.52896199e+00 
 1.07462965e+00  1.50895647e+00 
 1.08458421e+00  1.48934631e+00 
 1.09453878e+00  1.47012105e+00 
 1.10449335e+00  1.45127055e+00 
 1.11444792e+00  1.43278500e+00 
 1.12440250e+00  1.41465491e+00 
 1.13435708e+00  1.39687107e+00 
 1.14431167e+00  1.37942458e+00 
 1.15426626e+00  1.36230680e+00 
 1.16422085e+00  1.34550937e+00 
 1.17417544e+00  1.32902419e+00 
 1.18413004e+00  1.31284339e+00 
 1.19408465e+00  1.29695937e+00 
 1.20403925e+00  1.28136473e+00 
 1.21399386e+00  1.26605232e+00 
 1.22394848e+00  1.25101520e+00 
 1.23390310e+00  1.23624662e+00 
 1.24385772e+00  1.22174005e+00 
 1.25381234e+00  1.20748916e+00 
 1.26376697e+00  1.19348778e+00 
 1.27372161e+00  1.17972995e+00 
 1.28367625e+00  1.16620987e+00 
 1.29363089e+00  1.15292191e+00 
 1.30358553e+00  1.13986060e+00 
 1.31354018e+00  1.12702065e+00 
 1.32349484e+00  1.11439688e+00 
 1.33344949e+00  1.10198430e+00 
 1.34340416e+00  1.08977804e+00 
 1.35335882e+00  1.07777338e+00 
 1.36331349e+00  1.06596572e+00 
 1.37326817e+00  1.05435058e+00 
 1.38322284e+00  1.04292365e+00 
 1.39317753e+00  1.03168069e+00 
 1.40313221e+00  1.02061759e+00 
 1.41308690e+00  1.00973038e+00 
 1.42304160e+00  9.99015174e-01 
 1.43299630e+00  9.88468190e-01 
 1.44295100e+00  9.78085759e-01 
 1.45290571e+00  9.67864309e-01 
 1.46286042e+00  9.57800361e-01 
 1.47281514e+00  9.47890532e-01 
 1.48276986e+00  9.38131529e-01 
 1.49272458e+00  9.28520145e-01 
 1.50267931e+00  9.19053258e-01 
 1.51263405e+00  9.09727828e-01 
 1.52258878e+00  9.00540895e-01 
 1.53254353e+00  8.91489576e-01 
 1.54249827e+00  8.82571062e-01 
 1.55245302e+00  8.73782618e-01 
 1.56240778e+00  8.65121578e-01 
 1.57236254e+00  8.56585344e-01 
 1.58231730e+00  8.48171384e-01 
 1.59227207e+00  8.39877232e-01 
 1.60222685e+00  8.31700481e-01 
 1.61218162e+00  8.23638787e-01 
 1.62213641e+00  8.15689865e-01 
 1.63209119e+00  8.07851483e-01 
 1.64204599e+00  8.00121468e-01 
 1.65200078e+00  7.92497700e-01 
 1.66195558e+00  7.84978109e-01 
 1.67191039e+00  7.77560678e-01 
 1.68186520e+00  7.70243438e-01 
 1.69182001e+00  7.63024466e-01 
 1.70177483e+00  7.55901888e-01 
 1.71172965e+00  7.48873873e-01 
 1.72168448e+00  7.41938636e-01 
 1.73163931e+00  7.35094431e-01 
 1.74159415e+00  7.28339557e-01 
 1.75154899e+00  7.21672351e-01 
 1.76150384e+00  7.15091188e-01 
 1.77145869e+00  7.08594483e-01 
 1.78141355e+00  7.02180687e-01 
 1.79136841e+00  6.95848287e-01 
 1.80132327e+00  6.89595806e-01 
 1.81127814e+00  6.83421797e-01 
 1.82123302e+00  6.77324851e-01 
 1.83118789e+00  6.71303587e-01 
 1.84114278e+00  6.65356659e-01 
 1.85109767e+00  6.59482747e-01 
 1.86105256e+00  6.53680565e-01 
 1.87100746e+00  6.47948852e-01 
 1.88096236e+00  6.42286378e-01 
 1.89091727e+00  6.36691938e-01 
 1.90087218e+00  6.31164355e-01 
 1.91082710e+00  6.25702478e-01 
 1.92078202e+00  6.20305179e-01 
 1.93073694e+00  6.14971357e-01 
 1.94069188e+00  6.09699935e-01 
 1.95064681e+00  6.04489856e-01 
 1.96060175e+00  5.99340089e-01 
 1.97055670e+00  5.94249625e-01 
 1.98051165e+00  5.89217474e-01 
 1.99046660e+00  5.84242670e-01 
 2.00042156e+00  5.79324264e-01 
 2.01037653e+00  5.74461331e-01 
 2.02033150e+00  5.69652961e-01 
 2.03028647e+00  5.64898268e-01 
 2.04024145e+00  5.60196379e-01 
 2.05019643e+00  5.55546444e-01 
 2.06015142e+00  5.50947627e-01 
 2.07010642e+00  5.46399111e-01 
 2.08006141e+00  5.41900094e-01 
 2.09001642e+00  5.37449794e-01 
 2.09997143e+00  5.33047440e-01 
 2.10992644e+00  5.28692280e-01 
 2.11988146e+00  5.24383575e-01 
 2.12983648e+00  5.20120603e-01 
 2.13979151e+00  5.15902656e-01 
 2.14974654e+00  5.11729037e-01 
 2.15970158e+00  5.07599067e-01 
 2.16965662e+00  5.03512077e-01 
 2.17961166e+00  4.99467414e-01 
 2.18956672e+00  4.95464436e-01 
 2.19952177e+00  4.91502514e-01 
 2.20947683e+00  4.87581031e-01 
 2.21943190e+00  4.83699381e-01 
 2.22938697e+00  4.79856973e-01 
 2.23934205e+00  4.76053223e-01 
 2.24929713e+00  4.72287561e-01 
